record_id,stadium_code,stadium_name,home_team,store_facility,zone_location,floor,side,in_stadium_flag,evidence_type,evidence_subtype,source,source_url,verified_at,status,notes,content
SC_FOOD_JAMSIL_001,JAMSIL,잠실야구장,"LG,DOOSAN",BBQ치킨,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: BBQ치킨 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_002,JAMSIL,잠실야구장,"LG,DOOSAN",BHC치킨,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: BHC치킨 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_003,JAMSIL,잠실야구장,"LG,DOOSAN",GS25,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: GS25 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_004,JAMSIL,잠실야구장,"LG,DOOSAN","잠실원샷, 피자",외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 잠실원샷, 피자 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_005,JAMSIL,잠실야구장,"LG,DOOSAN",카페바른생활,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 카페바른생활 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_006,JAMSIL,잠실야구장,"LG,DOOSAN",자문밖,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 자문밖 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_007,JAMSIL,잠실야구장,"LG,DOOSAN",명인만두,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 명인만두 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_008,JAMSIL,잠실야구장,"LG,DOOSAN",버거리,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 버거리 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_009,JAMSIL,잠실야구장,"LG,DOOSAN",초장집,외부 외야~3루,외부,외야~3루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc3%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: 초장집 / zone_location: 외부 외야~3루 / floor: 외부 / side: 외야~3루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FOOD_JAMSIL_010,JAMSIL,잠실야구장,"LG,DOOSAN","BBQ, 닭꼬치",외부 외야~1루,외부,외야~1루,N,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ec%99%b8%eb%b6%80-%ec%99%b8%ec%95%bc1%eb%a3%a8/,2026-09-10,PARTIAL,구역 단위 위치. 정확한 매장 좌표 아님,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG,DOOSAN / store_facility: BBQ, 닭꼬치 / zone_location: 외부 외야~1루 / floor: 외부 / side: 외야~1루 / in_stadium_flag: N / notes: 구역 단위 위치. 정확한 매장 좌표 아님 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
