record_id,stadium_code,stadium_name,home_team,store_facility,floor,zone_location,map_label,menu_category_official,location_qty,operating_hours_official,evidence_type,evidence_subtype,source_id,source_url,verified_at,status,notes,content
F011,JAMSIL,잠실야구장,"LG, DOOSAN",꼬꼬닭,1층,공식 층별 안내도 표기 위치,A12,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 꼬꼬닭 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A12 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F012,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,1층,공식 층별 안내도 표기 위치,A13,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A13 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F013,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,1층,공식 층별 안내도 표기 위치,A16,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A16 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F014,JAMSIL,잠실야구장,"LG, DOOSAN",수내닭꼬치,1층,공식 층별 안내도 표기 위치,A17,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 수내닭꼬치 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A17 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F015,JAMSIL,잠실야구장,"LG, DOOSAN",명인만두,1층,공식 층별 안내도 표기 위치,A19,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 명인만두 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A19 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F016,JAMSIL,잠실야구장,"LG, DOOSAN",맘스터치,1층,공식 층별 안내도 표기 위치,A20,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 맘스터치 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A20 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F017,JAMSIL,잠실야구장,"LG, DOOSAN",BBQ,1층,공식 층별 안내도 표기 위치,A21,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BBQ / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A21 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F018,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,1층,공식 층별 안내도 표기 위치,A22,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A22 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F019,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,1층,공식 층별 안내도 표기 위치,A26,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A26 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F020,JAMSIL,잠실야구장,"LG, DOOSAN",BHC,2층,공식 층별 안내도 표기 위치,B01,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BHC / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B01 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F021,JAMSIL,잠실야구장,"LG, DOOSAN",카페 그라운드,2층,공식 층별 안내도 표기 위치,B02,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 카페 그라운드 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B02 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F022,JAMSIL,잠실야구장,"LG, DOOSAN",피자헛,2층,공식 층별 안내도 표기 위치,B03,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 피자헛 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B03 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F023,JAMSIL,잠실야구장,"LG, DOOSAN",명인만두,2층,공식 층별 안내도 표기 위치,B04,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 명인만두 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B04 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F024,JAMSIL,잠실야구장,"LG, DOOSAN",죠스 떡볶이,2층,공식 층별 안내도 표기 위치,B05,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 죠스 떡볶이 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B05 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F025,JAMSIL,잠실야구장,"LG, DOOSAN",통밥,2층,공식 층별 안내도 표기 위치,B06,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 통밥 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B06 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F026,JAMSIL,잠실야구장,"LG, DOOSAN",달콤,2층,공식 층별 안내도 표기 위치,B07,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 달콤 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B07 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F027,JAMSIL,잠실야구장,"LG, DOOSAN",와팡,2층,공식 층별 안내도 표기 위치,B08,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 와팡 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B08 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F028,JAMSIL,잠실야구장,"LG, DOOSAN",KFC,2층,공식 층별 안내도 표기 위치,B11,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: KFC / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B11 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F029,JAMSIL,잠실야구장,"LG, DOOSAN",BBQ,2층,공식 층별 안내도 표기 위치,B12,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BBQ / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B12 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F030,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,2층,공식 층별 안내도 표기 위치,B13,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B13 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F031,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,2층,공식 층별 안내도 표기 위치,B19,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B19 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F032,JAMSIL,잠실야구장,"LG, DOOSAN",BBQ,2층,공식 층별 안내도 표기 위치,B20,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BBQ / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B20 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F033,JAMSIL,잠실야구장,"LG, DOOSAN",맘스터치,2층,공식 층별 안내도 표기 위치,B21,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 맘스터치 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B21 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F034,JAMSIL,잠실야구장,"LG, DOOSAN",꼬꼬닭 카페,2층,공식 층별 안내도 표기 위치,B24,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 꼬꼬닭 카페 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B24 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F035,JAMSIL,잠실야구장,"LG, DOOSAN",공씨네 주먹밥,2층,공식 층별 안내도 표기 위치,B26,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 공씨네 주먹밥 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B26 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F036,JAMSIL,잠실야구장,"LG, DOOSAN",Miss&Mr Potato,2층,공식 층별 안내도 표기 위치,B27,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: Miss&Mr Potato / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B27 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F037,JAMSIL,잠실야구장,"LG, DOOSAN",달콤커피,2층,공식 층별 안내도 표기 위치,B28,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 달콤커피 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B28 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F038,JAMSIL,잠실야구장,"LG, DOOSAN",신철판,2층,공식 층별 안내도 표기 위치,B29,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 신철판 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B29 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F039,JAMSIL,잠실야구장,"LG, DOOSAN",명인만두,2층,공식 층별 안내도 표기 위치,B30,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 명인만두 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B30 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F040,JAMSIL,잠실야구장,"LG, DOOSAN",백미당,2층,공식 층별 안내도 표기 위치,B31,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 백미당 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B31 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F041,JAMSIL,잠실야구장,"LG, DOOSAN",맥주창고,2층,공식 층별 안내도 표기 위치,B32,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 맥주창고 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B32 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F042,JAMSIL,잠실야구장,"LG, DOOSAN",죠스 떡볶이,2층,공식 층별 안내도 표기 위치,B33,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 죠스 떡볶이 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B33 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F043,JAMSIL,잠실야구장,"LG, DOOSAN",앤티앤스 프레즐,2층,공식 층별 안내도 표기 위치,B34,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 앤티앤스 프레즐 / floor: 2층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: B34 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
