record_id,stadium_code,stadium_name,home_team,store_facility,floor,zone_location,map_label,menu_category_official,location_qty,operating_hours_official,evidence_type,evidence_subtype,source_id,source_url,verified_at,status,notes,content
F001,JAMSIL,잠실야구장,"LG, DOOSAN",카페희다,1층,공식 층별 안내도 표기 위치,A01,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 카페희다 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A01 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F002,JAMSIL,잠실야구장,"LG, DOOSAN",BHC,1층,공식 층별 안내도 표기 위치,A02,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BHC / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A02 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F003,JAMSIL,잠실야구장,"LG, DOOSAN",델리스푼 / 미스터피자,1층,공식 층별 안내도 표기 위치,A03,카페/간식,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 델리스푼 / 미스터피자 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A03 / menu_category_official: 카페/간식 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F004,JAMSIL,잠실야구장,"LG, DOOSAN",GS25,1층,공식 층별 안내도 표기 위치,A04,편의점/마트,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: GS25 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A04 / menu_category_official: 편의점/마트 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F005,JAMSIL,잠실야구장,"LG, DOOSAN",한식 분식,1층,공식 층별 안내도 표기 위치,A05,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 한식 분식 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A05 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F006,JAMSIL,잠실야구장,"LG, DOOSAN",맘스터치,1층,공식 층별 안내도 표기 위치,A06,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 맘스터치 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A06 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F007,JAMSIL,잠실야구장,"LG, DOOSAN",BBQ,1층,공식 층별 안내도 표기 위치,A07,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: BBQ / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A07 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F008,JAMSIL,잠실야구장,"LG, DOOSAN",도미노 피자,1층,공식 층별 안내도 표기 위치,A09,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 도미노 피자 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A09 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F009,JAMSIL,잠실야구장,"LG, DOOSAN",광장 식당,1층,공식 층별 안내도 표기 위치,A10,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: 광장 식당 / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A10 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
F010,JAMSIL,잠실야구장,"LG, DOOSAN",KFC,1층,공식 층별 안내도 표기 위치,A11,식당,1,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,세부 메뉴·매장별 운영시간은 공식 안내에 미표기,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / store_facility: KFC / floor: 1층 / zone_location: 공식 층별 안내도 표기 위치 / map_label: A11 / menu_category_official: 식당 / location_qty: 1 / notes: 세부 메뉴·매장별 운영시간은 공식 안내에 미표기"
