season,team_code,stadium_code,zone_code,zone_name_ko,price_tier,day_type,customer_type,group_size,price_krw,valid_from,valid_to,discount_condition,evidence_type,source_id,verified_at,status,notes,content
2026,LG,JAMSIL,PREMIUM,프리미엄석,STANDARD,WEEKDAY,GENERAL,,100000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: PREMIUM / zone_name_ko: 프리미엄석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 100000
2026,LG,JAMSIL,PREMIUM,프리미엄석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,100000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: PREMIUM / zone_name_ko: 프리미엄석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 100000
2026,LG,JAMSIL,TABLE,테이블석,STANDARD,WEEKDAY,GENERAL,,56000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: TABLE / zone_name_ko: 테이블석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 56000
2026,LG,JAMSIL,TABLE,테이블석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,62000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: TABLE / zone_name_ko: 테이블석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 62000
2026,LG,JAMSIL,EXCITING,익사이팅존,STANDARD,WEEKDAY,GENERAL,,30000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: EXCITING / zone_name_ko: 익사이팅존 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 30000
2026,LG,JAMSIL,EXCITING,익사이팅존,STANDARD,WEEKEND_HOLIDAY,GENERAL,,35000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: EXCITING / zone_name_ko: 익사이팅존 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 35000
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKDAY,GENERAL,,24000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 24000
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,26000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 26000
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKDAY,GENERAL,,22000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 22000
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,24000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 24000
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKDAY,GENERAL,,19000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 19000
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,21000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 21000
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKDAY,GENERAL,,16000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 16000
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKEND_HOLIDAY,GENERAL,,18000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 18000
2026,LG,JAMSIL,GREEN_CHEER,그린응원석(외야),STANDARD,WEEKDAY,GENERAL,,11000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_CHEER / zone_name_ko: 그린응원석(외야) / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 11000
2026,LG,JAMSIL,GREEN_CHEER,그린응원석(외야),STANDARD,WEEKEND_HOLIDAY,GENERAL,,12000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_CHEER / zone_name_ko: 그린응원석(외야) / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 12000
2026,LG,JAMSIL,GREEN_OUTFIELD,그린석(외야),STANDARD,WEEKDAY,GENERAL,,10000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_OUTFIELD / zone_name_ko: 그린석(외야) / price_tier: STANDARD / day_type: WEEKDAY / customer_type: GENERAL / price_krw: 10000
2026,LG,JAMSIL,GREEN_OUTFIELD,그린석(외야),STANDARD,WEEKEND_HOLIDAY,GENERAL,,11000,,,,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_OUTFIELD / zone_name_ko: 그린석(외야) / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: GENERAL / price_krw: 11000
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKDAY,ADULT_MEMBER,,23000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ADULT_MEMBER / price_krw: 23000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKEND_HOLIDAY,ADULT_MEMBER,,25000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ADULT_MEMBER / price_krw: 25000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKDAY,ELINI,,12000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ELINI / price_krw: 12000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,BLUE,블루석,STANDARD,WEEKEND_HOLIDAY,ELINI,,13000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ELINI / price_krw: 13000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKDAY,ADULT_MEMBER,,21000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ADULT_MEMBER / price_krw: 21000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKEND_HOLIDAY,ADULT_MEMBER,,23000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ADULT_MEMBER / price_krw: 23000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKDAY,ELINI,,11000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ELINI / price_krw: 11000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,ORANGE,오렌지석,STANDARD,WEEKEND_HOLIDAY,ELINI,,12000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ELINI / price_krw: 12000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKDAY,ADULT_MEMBER,,18000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ADULT_MEMBER / price_krw: 18000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKEND_HOLIDAY,ADULT_MEMBER,,20000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ADULT_MEMBER / price_krw: 20000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKDAY,ELINI,,9500,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ELINI / price_krw: 9500 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,RED,레드석,STANDARD,WEEKEND_HOLIDAY,ELINI,,10500,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ELINI / price_krw: 10500 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKDAY,ADULT_MEMBER,,15000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ADULT_MEMBER / price_krw: 15000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKEND_HOLIDAY,ADULT_MEMBER,,17000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ADULT_MEMBER / price_krw: 17000 / discount_condition: LG 성인회원 요금
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKDAY,ELINI,,8000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ELINI / price_krw: 8000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,NAVY,네이비석,STANDARD,WEEKEND_HOLIDAY,ELINI,,9000,,,엘린이 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / price_tier: STANDARD / day_type: WEEKEND_HOLIDAY / customer_type: ELINI / price_krw: 9000 / discount_condition: 엘린이 요금
2026,LG,JAMSIL,GREEN_CHEER,그린응원석(외야),STANDARD,WEEKDAY,ADULT_MEMBER,,10000,,,LG 성인회원 요금,OFFICIAL,S037,2026-09-03,CONFIRMED,,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_CHEER / zone_name_ko: 그린응원석(외야) / price_tier: STANDARD / day_type: WEEKDAY / customer_type: ADULT_MEMBER / price_krw: 10000 / discount_condition: LG 성인회원 요금
