season,team_code,stadium_code,map_title,page_url,asset_url,secondary_asset_url,evidence_type,source_id,verified_at,status,notes,content
2026,LG,JAMSIL,LG 트윈스 2026 잠실 좌석·요금 안내,https://www.lgtwins.com/ticket/general,,,OFFICIAL,S037,2026-09-03,CONFIRMED,LG 홈경기 좌석 구역·요금표,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / map_title: LG 트윈스 2026 잠실 좌석·요금 안내 / page_url: https://www.lgtwins.com/ticket/general / notes: LG 홈경기 좌석 구역·요금표
2026,DOOSAN,JAMSIL,두산 베어스 2026 잠실 좌석도,https://nol.yanolja.com/ticket/genre/sports/bears,https://ent-ticketimage.interparkcdn.net/display/articles/285db113c6d540b6aa3e5905fa3218af.png,https://ent-ticketimage.interparkcdn.net/display/articles/d82a810f4dbb4cf9bcd482a1fd8e508d.jpg,OFFICIAL,S074,2026-09-03,CONFIRMED,두산 홈경기 좌석도와 가격표를 LG와 분리,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / map_title: 두산 베어스 2026 잠실 좌석도 / page_url: https://nol.yanolja.com/ticket/genre/sports/bears / asset_url: https://ent-ticketimage.interparkcdn.net/display/articles/285db113c6d540b6aa3e5905fa3218af.png / secondary_asset_url: https://ent-ticketimage.interparkcdn.net/display/articles/d82a810f4dbb4cf9bcd482a1fd8e508d.jpg / notes: 두산 홈경기 좌석도와 가격표를 LG와 분리
2026,KIWOOM,GOCHEOK,키움 히어로즈 2026 좌석·입장요금,https://heroesbaseball.co.kr/ticket/normal/viewCharge.do,,,OFFICIAL,S077,2026-09-03,CONFIRMED,좌석 상품·하절기·그룹 좌석 가격 포함,[고척스카이돔 · 키움 히어로즈] team_code: KIWOOM / stadium_code: GOCHEOK / map_title: 키움 히어로즈 2026 좌석·입장요금 / page_url: https://heroesbaseball.co.kr/ticket/normal/viewCharge.do / notes: 좌석 상품·하절기·그룹 좌석 가격 포함
2026,SSG,MUNHAK,SSG 랜더스필드 2026 좌석도,https://www.ssglanders.com/game/ticket,https://www.ssglanders.com/img/game/seat_2026.png,https://www.ssglanders.com/img/game/seat_2026_zoom.png,OFFICIAL,S047,2026-09-03,CONFIRMED,2026 좌석도·확대본·가격표,[인천 SSG 랜더스필드 · SSG 랜더스] team_code: SSG / stadium_code: MUNHAK / map_title: SSG 랜더스필드 2026 좌석도 / page_url: https://www.ssglanders.com/game/ticket / asset_url: https://www.ssglanders.com/img/game/seat_2026.png / secondary_asset_url: https://www.ssglanders.com/img/game/seat_2026_zoom.png / notes: 2026 좌석도·확대본·가격표
2026,KT,SUWON,KT 위즈 파크 2026 좌석도,https://www.ktwiz.co.kr/ticket/seatmap,https://wizzap.ktwiz.co.kr/files/resource/2026/03/26/20260326181209.37f-36a98fb780d7.jpg,https://wizzap.ktwiz.co.kr/files/resource/2026/03/26/20260326181159.850-315a05fbda5d.jpg,OFFICIAL,S052,2026-09-03,CONFIRMED,공식 2026 좌석도 2종,[수원 KT 위즈 파크 · KT 위즈] team_code: KT / stadium_code: SUWON / map_title: KT 위즈 파크 2026 좌석도 / page_url: https://www.ktwiz.co.kr/ticket/seatmap / asset_url: https://wizzap.ktwiz.co.kr/files/resource/2026/03/26/20260326181209.37f-36a98fb780d7.jpg / secondary_asset_url: https://wizzap.ktwiz.co.kr/files/resource/2026/03/26/20260326181159.850-315a05fbda5d.jpg / notes: 공식 2026 좌석도 2종
2026,HANWHA,DAEJEON,한화생명 볼파크 2026 좌석·티켓 안내,https://www.hanwhaeagles.co.kr/MN/EP/MNEPPI01.do,https://www.hanwhaeagles.co.kr/download/attach.do?id=19884,https://www.hanwhaeagles.co.kr/resources/vr/index.html,OFFICIAL,S088,2026-09-03,CONFIRMED,좌석도·가격표·좌석 시야 VR,[대전 한화생명 볼파크 · 한화 이글스] team_code: HANWHA / stadium_code: DAEJEON / map_title: 한화생명 볼파크 2026 좌석·티켓 안내 / page_url: https://www.hanwhaeagles.co.kr/MN/EP/MNEPPI01.do / asset_url: https://www.hanwhaeagles.co.kr/download/attach.do?id=19884 / secondary_asset_url: https://www.hanwhaeagles.co.kr/resources/vr/index.html / notes: 좌석도·가격표·좌석 시야 VR
2026,SAMSUNG,DAEGU,삼성 라이온즈 파크 2026 좌석·티켓 안내,https://www.samsunglions.com/score/score_4_2_1.asp,https://www.samsunglions.com/img/intro/2026ticket_07.png?v=20260903,,OFFICIAL,S089,2026-09-03,CONFIRMED,2026 공식 좌석·티켓 이미지,[대구 삼성 라이온즈 파크 · 삼성 라이온즈] team_code: SAMSUNG / stadium_code: DAEGU / map_title: 삼성 라이온즈 파크 2026 좌석·티켓 안내 / page_url: https://www.samsunglions.com/score/score_4_2_1.asp / asset_url: https://www.samsunglions.com/img/intro/2026ticket_07.png?v=20260903 / notes: 2026 공식 좌석·티켓 이미지
2026,KIA,GWANGJU,광주-KIA 챔피언스 필드 2026 좌석도,https://tigers.co.kr/ticket/reservation,https://tigers.co.kr/files/resource/2026/03/260330_fieldGuide.png,https://tigers.co.kr/files/resource/2026/08/260818_ticketpolicy.png,OFFICIAL,S061,2026-09-03,CONFIRMED,좌석·편의시설 지도와 가격·정책 이미지,[광주-KIA 챔피언스 필드 · KIA 타이거즈] team_code: KIA / stadium_code: GWANGJU / map_title: 광주-KIA 챔피언스 필드 2026 좌석도 / page_url: https://tigers.co.kr/ticket/reservation / asset_url: https://tigers.co.kr/files/resource/2026/03/260330_fieldGuide.png / secondary_asset_url: https://tigers.co.kr/files/resource/2026/08/260818_ticketpolicy.png / notes: 좌석·편의시설 지도와 가격·정책 이미지
2026,LOTTE,SAJIK,사직야구장 2026 좌석 안내,https://www.giantsclub.com/html/?pcode=340,,https://www.giantsclub.com/html/?pcode=337,OFFICIAL,S065,2026-09-03,CONFIRMED,일반 좌석 안내와 스카이박스 페이지,[사직야구장 · 롯데 자이언츠] team_code: LOTTE / stadium_code: SAJIK / map_title: 사직야구장 2026 좌석 안내 / page_url: https://www.giantsclub.com/html/?pcode=340 / secondary_asset_url: https://www.giantsclub.com/html/?pcode=337 / notes: 일반 좌석 안내와 스카이박스 페이지
2026,NC,CHANGWON,창원 NC 파크 현행 층별 좌석도,https://www.ncdinos.com/dinos/stadium.do,https://www.ncdinos.com/assets/images/sub/img_map.jpg,https://www.ncdinos.com/assets/images/2026_ncpark_info_new.jpg,OFFICIAL,S069,2026-09-03,CONFIRMED,1~4층 좌석과 2026 주차·매장 안내,[창원 NC 파크 · NC 다이노스] team_code: NC / stadium_code: CHANGWON / map_title: 창원 NC 파크 현행 층별 좌석도 / page_url: https://www.ncdinos.com/dinos/stadium.do / asset_url: https://www.ncdinos.com/assets/images/sub/img_map.jpg / secondary_asset_url: https://www.ncdinos.com/assets/images/2026_ncpark_info_new.jpg / notes: 1~4층 좌석과 2026 주차·매장 안내
