season,team_code,stadium_code,zone_code,zone_name_ko,level,side,seat_type,group_size,accessible,description,evidence_type,source_id,verified_at,status,content
2026,LG,JAMSIL,PREMIUM,프리미엄석,,CENTER,PREMIUM,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: PREMIUM / zone_name_ko: 프리미엄석 / side: CENTER / seat_type: PREMIUM / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,TABLE,테이블석,,,TABLE,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: TABLE / zone_name_ko: 테이블석 / seat_type: TABLE / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,EXCITING,익사이팅존,,,SPECIAL,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: EXCITING / zone_name_ko: 익사이팅존 / seat_type: SPECIAL / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,BLUE,블루석,,,RESERVED,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루석 / seat_type: RESERVED / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,ORANGE,오렌지석,,,CHEERING,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지석 / seat_type: CHEERING / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,RED,레드석,,,RESERVED,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드석 / seat_type: RESERVED / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,NAVY,네이비석,,,RESERVED,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비석 / seat_type: RESERVED / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,GREEN_CHEER,그린응원석(외야),,OUTFIELD,CHEERING,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_CHEER / zone_name_ko: 그린응원석(외야) / side: OUTFIELD / seat_type: CHEERING / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,GREEN_OUTFIELD,그린석(외야),,OUTFIELD,RESERVED,,N,2026 LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: GREEN_OUTFIELD / zone_name_ko: 그린석(외야) / side: OUTFIELD / seat_type: RESERVED / accessible: N / description: 2026 LG 홈경기 기준
2026,LG,JAMSIL,WHEELCHAIR,휠체어석,,INFIELD,ACCESSIBLE,,Y,101B·122B 및 동반자형 지정 구역. LG 홈경기 기준,OFFICIAL,S037,2026-09-03,CONFIRMED,[잠실야구장 · LG 트윈스] team_code: LG / stadium_code: JAMSIL / zone_code: WHEELCHAIR / zone_name_ko: 휠체어석 / side: INFIELD / seat_type: ACCESSIBLE / accessible: Y / description: 101B·122B 및 동반자형 지정 구역. LG 홈경기 기준
2026,DOOSAN,JAMSIL,CENTER_VIP,중앙석(VIP석),,CENTER,PREMIUM,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: CENTER_VIP / zone_name_ko: 중앙석(VIP석) / side: CENTER / seat_type: PREMIUM / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,NOL_EXCITING,NOL존(익사이팅존),,,SPECIAL,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: NOL_EXCITING / zone_name_ko: NOL존(익사이팅존) / seat_type: SPECIAL / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,TABLE,테이블석,,,TABLE,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: TABLE / zone_name_ko: 테이블석 / seat_type: TABLE / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,BLUE,블루지정석,,,RESERVED,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: BLUE / zone_name_ko: 블루지정석 / seat_type: RESERVED / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,ORANGE,오렌지지정석(응원석),,,CHEERING,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: ORANGE / zone_name_ko: 오렌지지정석(응원석) / seat_type: CHEERING / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,RED,레드지정석,,,RESERVED,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: RED / zone_name_ko: 레드지정석 / seat_type: RESERVED / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,NAVY,네이비지정석,,,RESERVED,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: NAVY / zone_name_ko: 네이비지정석 / seat_type: RESERVED / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,OUTFIELD_GENERAL,외야일반석,,OUTFIELD,RESERVED,,N,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: OUTFIELD_GENERAL / zone_name_ko: 외야일반석 / side: OUTFIELD / seat_type: RESERVED / accessible: N / description: 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,OUTFIELD_CHEER,외야응원석,,OUTFIELD,CHEERING,,N,405~408블록. 2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: OUTFIELD_CHEER / zone_name_ko: 외야응원석 / side: OUTFIELD / seat_type: CHEERING / accessible: N / description: 405~408블록. 2026 두산 홈경기 기준
2026,DOOSAN,JAMSIL,WHEELCHAIR,휠체어 장애인석,,INFIELD,ACCESSIBLE,,Y,2026 두산 홈경기 기준,OFFICIAL,S074,2026-09-03,CONFIRMED,[잠실야구장 · 두산 베어스] team_code: DOOSAN / stadium_code: JAMSIL / zone_code: WHEELCHAIR / zone_name_ko: 휠체어 장애인석 / side: INFIELD / seat_type: ACCESSIBLE / accessible: Y / description: 2026 두산 홈경기 기준
2026,KIWOOM,GOCHEOK,R_D_CLUB,요기요 R.d-club석,,CENTER,PREMIUM,,N,2026 키움 공식 입장요금 페이지 기준,OFFICIAL,S077,2026-09-03,CONFIRMED,[고척스카이돔 · 키움 히어로즈] team_code: KIWOOM / stadium_code: GOCHEOK / zone_code: R_D_CLUB / zone_name_ko: 요기요 R.d-club석 / side: CENTER / seat_type: PREMIUM / accessible: N / description: 2026 키움 공식 입장요금 페이지 기준
2026,KIWOOM,GOCHEOK,D_CLUB,d-club(다이아몬드 클럽),,CENTER,PREMIUM,,N,2026 키움 공식 입장요금 페이지 기준,OFFICIAL,S077,2026-09-03,CONFIRMED,[고척스카이돔 · 키움 히어로즈] team_code: KIWOOM / stadium_code: GOCHEOK / zone_code: D_CLUB / zone_name_ko: d-club(다이아몬드 클럽) / side: CENTER / seat_type: PREMIUM / accessible: N / description: 2026 키움 공식 입장요금 페이지 기준
