record_id,stadium_code,stadium_name,team_code,facility_type,facility_name,floor,side,location_detail,indoor_outdoor,evidence_type,evidence_subtype,source,source_url,verified_at,status,notes,content
SC_FAC_JAMSIL_011,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,베어스하우스(외부),외부,,외부 외야~1루,실외,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%b2%a0%ec%96%b4%ec%8a%a4%ed%95%98%ec%9a%b0%ec%8a%a4%ec%99%b8/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: 베어스하우스(외부) / floor: 외부 / location_detail: 외부 외야~1루 / indoor_outdoor: 실외 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_012,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,유니크스포츠(외부),외부,,외부 외야~3루,실외,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%eb%a8%b9%ea%b1%b0%eb%a6%ac-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%9c%a0%eb%8b%88%ed%81%ac%ec%8a%a4/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: 유니크스포츠(외부) / floor: 외부 / location_detail: 외부 외야~3루 / indoor_outdoor: 실외 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_013,JAMSIL,잠실야구장,"LG,DOOSAN",물품보관함,물품보관함,2층,1루,물품보관함 (1루 2층),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%ac%bc%ed%92%88%eb%b3%b4%ea%b4%80%ed%95%a8-1%eb%a3%a8/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 물품보관함 / facility_name: 물품보관함 / floor: 2층 / side: 1루 / location_detail: 물품보관함 (1루 2층) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_014,JAMSIL,잠실야구장,"LG,DOOSAN",물품보관함,물품보관함,2층,3루,물품보관함 (3루 2층),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%ac%bc%ed%92%88%eb%b3%b4%ea%b4%80%ed%95%a8-3%eb%a3%a8/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 물품보관함 / facility_name: 물품보관함 / floor: 2층 / side: 3루 / location_detail: 물품보관함 (3루 2층) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_015,JAMSIL,잠실야구장,"LG,DOOSAN",보조배터리,보조배터리,2층,3루,보조배터리 (3루 2층),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%b3%b4%ec%a1%b0%eb%b0%b0%ed%84%b0%eb%a6%ac3%eb%a3%a8/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 보조배터리 / facility_name: 보조배터리 / floor: 2층 / side: 3루 / location_detail: 보조배터리 (3루 2층) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_GOCHEOK_001,GOCHEOK,고척스카이돔,KIWOOM,굿즈샵,히어로즈샵,2층,중앙,외부 2층 중앙,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ed%9e%88%ec%96%b4%eb%a1%9c%ec%a6%88%ec%83%b5/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 굿즈샵 / facility_name: 히어로즈샵 / floor: 2층 / side: 중앙 / location_detail: 외부 2층 중앙 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_002,GOCHEOK,고척스카이돔,KIWOOM,굿즈샵,히어로즈샵 상시 매장,,,히어로즈샵 상시 매장 (고척돔 광장),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ed%9e%88%ec%96%b4%eb%a1%9c%ec%a6%88%ec%83%b5%ec%83%81%ec%8b%9c/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 굿즈샵 / facility_name: 히어로즈샵 상시 매장 / location_detail: 히어로즈샵 상시 매장 (고척돔 광장) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_003,GOCHEOK,고척스카이돔,KIWOOM,기타,서울아트책보고,지하1층,,,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%84%9c%ec%9a%b8%ec%95%84%ed%8a%b8%ec%b1%85%eb%b3%b4%ea%b3%a0/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 기타 / facility_name: 서울아트책보고 / floor: 지하1층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_004,GOCHEOK,고척스카이돔,KIWOOM,기타,키즈존,,,책보고 입구 들어가서 바로,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%96%b4%eb%a6%b0%ec%9d%b4%eb%86%80%ec%9d%b4%ed%84%b0/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 기타 / facility_name: 키즈존 / location_detail: 책보고 입구 들어가서 바로 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_005,GOCHEOK,고척스카이돔,KIWOOM,포토부스,인생네컷,2층,중앙,내야 2층 중앙,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%9d%b8%ec%83%9d%eb%84%a4%ec%bb%b7/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 포토부스 / facility_name: 인생네컷 / floor: 2층 / side: 중앙 / location_detail: 내야 2층 중앙 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_006,GOCHEOK,고척스카이돔,KIWOOM,포토부스,포토카드,2층,중앙,내야 2층 중앙,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ed%8f%ac%ed%86%a0%ec%b9%b4%eb%93%9c/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 포토부스 / facility_name: 포토카드 / floor: 2층 / side: 중앙 / location_detail: 내야 2층 중앙 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_007,GOCHEOK,고척스카이돔,KIWOOM,기타,랜덤캡슐샵,지하1층,,지하1층 책보고,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%9e%9c%eb%8d%a4%ec%ba%a1%ec%8a%90%ec%83%b5/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 기타 / facility_name: 랜덤캡슐샵 / floor: 지하1층 / location_detail: 지하1층 책보고 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_008,GOCHEOK,고척스카이돔,KIWOOM,굿즈샵,원정용품샵,2층,중앙,외부 2층 중앙,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%9b%90%ec%a0%95%ec%9a%a9%ed%92%88%ec%83%b5/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 굿즈샵 / facility_name: 원정용품샵 / floor: 2층 / side: 중앙 / location_detail: 외부 2층 중앙 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_009,GOCHEOK,고척스카이돔,KIWOOM,물품보관함,물품보관소,2층,1루,내야 2층 1루 복도 끝,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%ac%bc%ed%92%88%eb%b3%b4%ea%b4%80%ec%86%8c-1%eb%a3%a8/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 물품보관함 / facility_name: 물품보관소 / floor: 2층 / side: 1루 / location_detail: 내야 2층 1루 복도 끝 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_GOCHEOK_010,GOCHEOK,고척스카이돔,KIWOOM,물품보관함,물품보관소,2층,3루,내야 2층 3루 복도 끝,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ea%b3%a0%ec%b2%99%ec%8a%a4%ec%b9%b4%ec%9d%b4%eb%8f%94-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%ac%bc%ed%92%88%eb%b3%b4%ea%b4%80%ec%86%8c-3%eb%a3%a8/,2026-09-10,PARTIAL,,[고척스카이돔 · 키움 히어로즈] stadium_code: GOCHEOK / stadium_name: 고척스카이돔 / team_code: KIWOOM / facility_type: 물품보관함 / facility_name: 물품보관소 / floor: 2층 / side: 3루 / location_detail: 내야 2층 3루 복도 끝 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_001,MUNHAK,인천 SSG 랜더스필드,SSG,굿즈샵,랜더스샵 내야,,,GATE 3 근처,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%9e%9c%eb%8d%94%ec%8a%a4%ec%83%b5%eb%82%b4%ec%95%bc/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 굿즈샵 / facility_name: 랜더스샵 내야 / location_detail: GATE 3 근처 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_002,MUNHAK,인천 SSG 랜더스필드,SSG,굿즈샵,랜더스샵 외야,,외야,랜더스샵 외야 (GATE 7 근처),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%9e%9c%eb%8d%94%ec%8a%a4%ec%83%b5%ec%99%b8%ec%95%bc/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 굿즈샵 / facility_name: 랜더스샵 외야 / side: 외야 / location_detail: 랜더스샵 외야 (GATE 7 근처) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_003,MUNHAK,인천 SSG 랜더스필드,SSG,굿즈샵,랜더스샵 코어,1층,중앙~3루,1층 중앙~3루 사이,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%eb%9e%9c%eb%8d%94%ec%8a%a4%ec%83%b5%ec%bd%94%ec%96%b4/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 굿즈샵 / facility_name: 랜더스샵 코어 / floor: 1층 / side: 중앙~3루 / location_detail: 1층 중앙~3루 사이 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_004,MUNHAK,인천 SSG 랜더스필드,SSG,굿즈샵,원정팀 스토어,,3루,3루 110 통로 근처,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%9b%90%ec%a0%95%ed%8c%80-%ec%8a%a4%ed%86%a0%ec%96%b4/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 굿즈샵 / facility_name: 원정팀 스토어 / side: 3루 / location_detail: 3루 110 통로 근처 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_005,MUNHAK,인천 SSG 랜더스필드,SSG,포토부스,인생네컷,,3루,3루 109통로 근처,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ec%9d%b8%ec%83%9d%eb%84%a4%ec%bb%b7%eb%82%b4%ec%95%bc/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 포토부스 / facility_name: 인생네컷 / side: 3루 / location_detail: 3루 109통로 근처 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
SC_FAC_MUNHAK_006,MUNHAK,인천 SSG 랜더스필드,SSG,포토부스,포토카드,2층,1루,포토카드 (2층 1루 202통로 근처),,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%9d%b8%ec%b2%9c-%eb%9e%9c%eb%8d%94%ec%8a%a4%ed%95%84%eb%93%9c-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-%ed%8f%ac%ed%86%a0%ec%b9%b4%eb%93%9c/,2026-09-10,PARTIAL,,[인천 SSG 랜더스필드 · SSG 랜더스] stadium_code: MUNHAK / stadium_name: 인천 SSG 랜더스필드 / team_code: SSG / facility_type: 포토부스 / facility_name: 포토카드 / floor: 2층 / side: 1루 / location_detail: 포토카드 (2층 1루 202통로 근처) (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
