record_id,stadium_code,stadium_name,team_code,facility_type,facility_name,floor,side,location_detail,indoor_outdoor,evidence_type,evidence_subtype,source,source_url,verified_at,status,notes,content
SC_FAC_JAMSIL_001,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 굿즈샵,2층,1루,1루 2층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ea%b5%bf%ec%a6%88%ec%83%b5/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 굿즈샵 / floor: 2층 / side: 1루 / location_detail: 1루 2층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_002,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 어패럴샵 레플리카,2층,1루,1루 2층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ec%96%b4%ed%8c%a8%eb%9f%b4%ec%83%b5-%eb%a0%88%ed%94%8c/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 어패럴샵 레플리카 / floor: 2층 / side: 1루 / location_detail: 1루 2층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_003,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 어패럴샵 어센틱,2층,1루,1루 2층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ec%96%b4%ed%8c%a8%eb%9f%b4%ec%83%b5-%ec%96%b4%ec%84%bc/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 어패럴샵 어센틱 / floor: 2층 / side: 1루 / location_detail: 1루 2층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_004,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 어패럴샵,외부,,외부 외야~1층,실외,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ec%96%b4%ed%8c%a8%eb%9f%b4%ec%83%b5/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 어패럴샵 / floor: 외부 / location_detail: 외부 외야~1층 / indoor_outdoor: 실외 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_005,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 굿즈샵(외부),외부,외야,외부 외야 방면,실외,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ea%b5%bf%ec%a6%88%ec%83%b5%ec%99%b8%eb%b6%80/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 굿즈샵(외부) / floor: 외부 / side: 외야 / location_detail: 외부 외야 방면 / indoor_outdoor: 실외 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_006,JAMSIL,잠실야구장,"LG,DOOSAN",기타,LG 마킹존,,,제1매표소 뒤쪽,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%eb%a7%88%ed%82%b9%ec%a1%b4/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 기타 / facility_name: LG 마킹존 / location_detail: 제1매표소 뒤쪽 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_007,JAMSIL,잠실야구장,"LG,DOOSAN",포토부스,LG 포토카드,2층,1루,1루 2층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ed%8f%ac%ed%86%a0%ec%b9%b4%eb%93%9c/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 포토부스 / facility_name: LG 포토카드 / floor: 2층 / side: 1루 / location_detail: 1루 2층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_008,JAMSIL,잠실야구장,"LG,DOOSAN",포토부스,LG 포토카드(외부),외부,외야,외부 외야 방면,실외,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ed%8f%ac%ed%86%a0%ec%b9%b4%eb%93%9c%ec%99%b8%eb%b6%80/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 포토부스 / facility_name: LG 포토카드(외부) / floor: 외부 / side: 외야 / location_detail: 외부 외야 방면 / indoor_outdoor: 실외 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_009,JAMSIL,잠실야구장,"LG,DOOSAN",포토부스,LG 인생네컷,2.5층,1루,1루 2.5층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ec%9d%b8%ec%83%9d%eb%84%a4%ec%bb%b72-5%ec%b8%b5/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 포토부스 / facility_name: LG 인생네컷 / floor: 2.5층 / side: 1루 / location_detail: 1루 2.5층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SC_FAC_JAMSIL_010,JAMSIL,잠실야구장,"LG,DOOSAN",굿즈샵,LG 콜랩샵,2층,1루,1루 2층,,UNOFFICIAL,COMMUNITY_SEATVIEW,myseatcheck.com (자리어때),https://myseatcheck.com/%ec%84%9c%ec%9a%b8-%ec%9e%a0%ec%8b%a4%ec%95%bc%ea%b5%ac%ec%9e%a5-%ea%b5%bf%ec%a6%88%ec%83%b5-%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4-lg-%ec%bd%9c%eb%9e%a9%ec%83%b5/,2026-09-10,PARTIAL,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / team_code: LG,DOOSAN / facility_type: 굿즈샵 / facility_name: LG 콜랩샵 / floor: 2층 / side: 1루 / location_detail: 1루 2층 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
